numero_estacion,direccion
540,EUCALIPTO - RICARDO FLORES MAGÓN
541,ELIGIO ANCONA - NARANJO
542,DR. ENRIQUE GONZÁLEZ MARTÍNEZ - ELIGIO ANCONA
543,JAIME TORRES BODET - MANUEL CARPIO
544,SALVADOR DÍAZ MIRÓN - NOGAL
545,SABINO - SALVADOR DÍAZ MIRÓN
546,SALVADOR DÍAZ MIRÓN - SANTA MARÍA LA RIBERA
547,DR. ENRIQUE GONZÁLEZ MARTÍNEZ - SALVADOR DÍAZ MIRÓN
548,DR. MARIANO AZUELA - JOSE ANTONIO ALZATE
549,SOR JUANA INES DE LA CRUZ - DR. ATL
550,SOR JUANA INES DE LA CRUZ - FRESNO
551,NOGAL - RIBERA DE SAN COSME
552,FRESNO - RIBERA DE SAN COSME
553,JAIME TORRES BODET - RIBERA DE SAN COSME
554,HEROES FERROCARRILEROS - MARIANO AZUELA
555,RIBERA DE SAN COSME - INSURGENTES CENTRO
556,PLAZA TLAXCOAQUE - DIAGONAL 20 DE NOVIEMBRE
557,5 DE FEBRERO - FERNANDO DE ALVA IXTLILXOCHITL
558,CHIMALPOPOCA - SIMÓN BOLÍVAR
559,FERNANDO DE ALVA IXTLILXOCHITL - DIAGONAL 20 DE NOVIEMBRE
560,DOCTOR LICEAGA - EJE CENTRAL
561,DR. JIMÉNEZ - DR. LAVISTA
562,CLAUDIO BERNARD - JOSÉ MARÍA VERTIZ
563,DOCTOR VELASCO - NIÑOS HÉROES
564,DOCTOR CARMONA Y VALLE - DOCTOR VELASCO
565,DR. MARTINEZ DEL RIO - DR. LUCIO
566,DR. JIMÉNEZ - DR. GARCÍA DIEGO
567,DOCTOR MARTÍNEZ DEL RÍO - DOCTOR JOSÉ TERRÉS
568,DOCTOR BARRAGÁN - DOCTOR ERAZO
569,GUTIÉRREZ NÁJERA - BOLÍVAR
570,ALFREDO CHAVERO - SIMÓN BOLÍVAR
571,MANUEL M. FLORES - CALZADA SAN ANTONIO ABAD
572,MANUEL J. OTHÓN - JOSÉ T. CUELLAR
573,FERNANDO RAMÍREZ - ISABEL LA CATÓLICA
574,JOSÉ MARÍA ROA BÁRCENAS - SIMÓN BOLÍVAR
575,FERNANDO RAMÍREZ - EJE CENTRAL
576,DOCTOR ARCE - JOSE MARIA VERTIZ
577,DOCTOR MÁRQUEZ - DOCTOR JIMÉNEZ
578,DOCTOR JIMÉNEZ - DOCTOR FEDERICO GÓMEZ SANTOS
579,DOCTOR MÁRQUEZ - PRIVADA DOCTOR DURAN
580,ANTONIO SOLÍS - BOLÍVAR
581,JOSÉ MARÍA ROA BÁRCENAS - SAN ANTONIO ABAD
582,ANTONIO SOLIS-SAN ANTONIO ABAD
583,ÁNGEL DEL CAMPO - 5 DE FEBRERO
584,ENRIQUE GRANADOS - JOSÉ PEÓN CONTRERAS (EJE 3)
585,JOSÉ TORIBIO MEDINA - MANUEL NAVARRETE
586,BERNARDO COUTO-JUAN E. HERNÁNDEZ Y DAVALOS
587,JOSE TORIBIO MEDINA - MARCELINO DAVALOS
588,AV. FERNANDO - LA CORUÑA
589,CÁDIZ - CALZADA DE TLALPAN
590,FERNANDO - ISABEL LA CATÓLICA
591,SIMÓN BOLÍVAR - LA CORUÑA
592,CÁDIZ - EJE CENTRAL LÁZARO CÁRDENAS
593,ZEMPOALA - DIAGONAL DE SAN ANTONIO
594,XOCHICALCO - OBRERO MUNDIAL
595,YACATAS - DIAGONAL DE SAN ANTONIO
596,CUMBRES DE MALTRATA - UXMAL
597,DIAGONAL SAN ANTONIO - ICACOS
